Recom_Cust_Name,Recom_Product,Type,AR_Cust_Name,AR_Product1,AR_Product2,Recommendations,Rank,Segment
JohnLucas,Xerox 225,AR,JenniferFerguson,Xerox 1894,Xerox 225,"The customer JohnLucas has been recommended with product Xerox 225 because, as per association rules, he has bought product Xerox 1894 and not Xerox 225.",17.0,0
PenelopeSewall,Staples,AR,HerbertFlentye,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",Staples,"The customer PenelopeSewall has been recommended with product Staples because, as per association rules, he has bought product Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book and not Staples.",71.0,0
KalycaMeade,Boston 16765 Mini Stand Up Battery Pencil Sharpener,AR,DavePoirier,Microsoft Natural Ergonomic Keyboard 4000,Boston 16765 Mini Stand Up Battery Pencil Sharpener,"The customer KalycaMeade has been recommended with product Boston 16765 Mini Stand Up Battery Pencil Sharpener because, as per association rules, he has bought product Microsoft Natural Ergonomic Keyboard 4000 and not Boston 16765 Mini Stand Up Battery Pencil Sharpener.",118.0,3
KeithHerrera,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",AR,JulianaKrohn,O'Sullivan 4-Shelf Bookcase in Odessa Pine,"GBC Standard Recycled Report Covers, Clear Plastic Sheets","The customer KeithHerrera has been recommended with product GBC Standard Recycled Report Covers, Clear Plastic Sheets because, as per association rules, he has bought product O'Sullivan 4-Shelf Bookcase in Odessa Pine and not GBC Standard Recycled Report Covers, Clear Plastic Sheets.",121.0,4
FredMcMath,Staples,AR,AlanBarnes,Tennsco Regal Shelving Units,Staples,"The customer FredMcMath has been recommended with product Staples because, as per association rules, he has bought product Tennsco Regal Shelving Units and not Staples.",204.0,3
ScottWilliamson,Staples,AR,AlanBarnes,Tennsco Regal Shelving Units,Staples,"The customer ScottWilliamson has been recommended with product Staples because, as per association rules, he has bought product Tennsco Regal Shelving Units and not Staples.",256.0,3
AlanBarnes,Carina Double Wide Media Storage Towers in Natural & Black,AR,CassandraBrandow,GBC Wire Binding Combs,Carina Double Wide Media Storage Towers in Natural & Black,"The customer AlanBarnes has been recommended with product Carina Double Wide Media Storage Towers in Natural & Black because, as per association rules, he has bought product GBC Wire Binding Combs and not Carina Double Wide Media Storage Towers in Natural & Black.",272.0,2
ChadSievert,Staples,AR,HerbertFlentye,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",Staples,"The customer ChadSievert has been recommended with product Staples because, as per association rules, he has bought product Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book and not Staples.",299.0,1
CynthiaDelaney,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),AR,AlanDominguez,Advantus Rolling Storage Box,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),"The customer CynthiaDelaney has been recommended with product Great White Multi-Use Recycled Paper (20Lb. and 84 Bright) because, as per association rules, he has bought product Advantus Rolling Storage Box and not Great White Multi-Use Recycled Paper (20Lb. and 84 Bright).",306.0,1
JustinRitter,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",AR,JulianaKrohn,O'Sullivan 4-Shelf Bookcase in Odessa Pine,"GBC Standard Recycled Report Covers, Clear Plastic Sheets","The customer JustinRitter has been recommended with product GBC Standard Recycled Report Covers, Clear Plastic Sheets because, as per association rules, he has bought product O'Sullivan 4-Shelf Bookcase in Odessa Pine and not GBC Standard Recycled Report Covers, Clear Plastic Sheets.",343.0,1
PatrickGardner,O'Sullivan 4-Shelf Bookcase in Odessa Pine,AR,JulianaKrohn,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",O'Sullivan 4-Shelf Bookcase in Odessa Pine,"The customer PatrickGardner has been recommended with product O'Sullivan 4-Shelf Bookcase in Odessa Pine because, as per association rules, he has bought product GBC Standard Recycled Report Covers, Clear Plastic Sheets and not O'Sullivan 4-Shelf Bookcase in Odessa Pine.",377.0,2
DennyJoy,Xerox 225,AR,JenniferFerguson,Xerox 1894,Xerox 225,"The customer DennyJoy has been recommended with product Xerox 225 because, as per association rules, he has bought product Xerox 1894 and not Xerox 225.",463.0,3
MarkHaberlin,O'Sullivan 4-Shelf Bookcase in Odessa Pine,AR,JulianaKrohn,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",O'Sullivan 4-Shelf Bookcase in Odessa Pine,"The customer MarkHaberlin has been recommended with product O'Sullivan 4-Shelf Bookcase in Odessa Pine because, as per association rules, he has bought product GBC Standard Recycled Report Covers, Clear Plastic Sheets and not O'Sullivan 4-Shelf Bookcase in Odessa Pine.",526.0,3
